,subject_setup,experimental_setup,preprocess,segment_lenght,stimuli,cv,std
0,dependent,segment,DASM,1,arousal,0.65633,0.01699
0,dependent,segment,DASM,12,arousal,0.67578,0.06789
0,dependent,segment,DASM,20,arousal,0.66797,0.09093
0,dependent,segment,DASM,60,arousal,0.61797,0.17538
0,dependent,segment,DASM,1,valence,0.62863,0.02604
0,dependent,segment,DASM,12,valence,0.6525,0.08371
0,dependent,segment,DASM,20,valence,0.6487,0.11074
0,dependent,segment,DASM,60,valence,0.63359,0.207
0,dependent,trial,DASM,1,arousal,0.63984,0.09454
0,dependent,trial,DASM,12,arousal,0.6333,0.11489
0,dependent,trial,DASM,20,arousal,0.63269,0.11853
0,dependent,trial,DASM,60,arousal,0.6249,0.16285
0,dependent,trial,DASM,1,valence,0.59855,0.08629
0,dependent,trial,DASM,12,valence,0.61781,0.11918
0,dependent,trial,DASM,20,valence,0.62526,0.13112
0,dependent,trial,DASM,60,valence,0.63516,0.19879
0,independent,segment,DASM,1,arousal,0.57641,0.00483
0,independent,segment,DASM,12,arousal,0.52609,0.05834
0,independent,segment,DASM,20,arousal,0.41484,0.15039
0,independent,segment,DASM,60,arousal,0.36953,0.15656
0,independent,segment,DASM,1,valence,0.54749,0.01947
0,independent,segment,DASM,12,valence,0.50766,0.06545
0,independent,segment,DASM,20,valence,0.45312,0.09824
0,independent,segment,DASM,60,valence,0.44844,0.07592
0,independent,trial,DASM,1,arousal,0.57383,0.0064
0,independent,trial,DASM,12,arousal,0.57312,0.02842
0,independent,trial,DASM,20,arousal,0.60026,0.02359
0,independent,trial,DASM,60,arousal,0.64453,0.02271
0,independent,trial,DASM,1,valence,0.55112,0.0046
0,independent,trial,DASM,12,valence,0.54281,0.02421
0,independent,trial,DASM,20,valence,0.57005,0.02313
0,independent,trial,DASM,60,valence,0.58516,0.02222
0,dependent,segment,DCAU,1,arousal,0.65684,0.01486
0,dependent,segment,DCAU,12,arousal,0.66172,0.06511
0,dependent,segment,DCAU,20,arousal,0.65729,0.08788
0,dependent,segment,DCAU,60,arousal,0.61953,0.17664
0,dependent,segment,DCAU,1,valence,0.62827,0.02332
